query_id,question,ground_truth,success,max_prob,max_prob_layer,suppression_pattern,num_knowledge_layers,knowledge_layers,extracted
hp_22,Which shop did Harry and Hagrid visit to buy Harry's school books?,Flourish and Blotts,False,0.00011348724365234375,14,none,0,[],none
hp_23,Who will be taking the Care of Magical Creatures lessons this year?,Professor Grubbly-Plank,False,0.0048370361328125,29,none,0,[],due
hp_24,What phrase was Harry instructed to write repeatedly with the special quill given by Umbridge?,I must not tell lies,False,4.8220157623291016e-05,10,none,0,[],schnitt
hp_25,Who suggested that the group should have a name to promote team spirit and unity during the meeting?,Hermione,False,0.00014603137969970703,6,none,0,[],Gemeins
hp_26,What phrase did the Sorting Hat shout after considering Euan Abercrombie's placement?,'Gryffindor!',False,0.00016391277313232422,7,none,0,[],abet
hp_27,What subject will Professor Grubbly-Plank be teaching this year?,Care of Magical Creatures,False,0.0001226663589477539,14,none,0,[],lob
hp_28,Which subject did Professor McGonagall advise Harry to take because Aurors frequently need to Transfigure or Untransfigure in their work?,Transfiguration,True,0.44775390625,25,suppressed_at_output,8,"[25, 26, 27, 28, 29, 30, 31, 32]",Trans
hp_29,What item does Harry need to take with him into the bath according to Cedric Diggory's advice?,the egg,True,0.00041031837463378906,10,suppressed_from_early,3,"[7, 31, 32]",tre
hp_30,What did Hermione mutter angrily about Krum's appearance in the library?,"""He's not even good-looking!""",True,0.0004372596740722656,16,suppressed_from_middle,10,"[19, 20, 21, 22, 24, 25, 26, 27, 28, 29]",quelle
hp_31,"What potion did Hermione identify as colorless and odorless, which forces the drinker to tell the truth?",Veritaserum,False,4.309415817260742e-05,14,none,0,[],none
hp_32,What is the proper name of Ron's tiny gray owl?,Pigwidgeon,False,0.00012058019638061523,7,none,0,[],none
hp_33,Who taught Divination for the sixth year during Harry's sixth year at Hogwarts?,Professor Trelawney,True,0.06744384765625,32,late_emerging,9,"[19, 20, 21, 24, 27, 28, 29, 30, 32]",Div
hp_34,In which city did Aunt Petunia take Dudley to buy his Smeltings uniform?,London,False,0.0038089752197265625,23,none,0,[],answer
hp_35,Who managed to burst the first pod open during the lesson?,Hermione,False,0.00017321109771728516,6,none,0,[],Gemeins
hp_36,"Which books did Harry need for the coming year, according to his booklist?","The Standard Book of Spells, Grade 5, by Miranda Goshawk, and Defensive Magical Theory, by Wilbert Slinkhard.",True,0.004581451416015625,31,suppressed_at_output,7,"[25, 27, 28, 29, 30, 31, 32]",According
hp_37,What did Dumbledore assure the hostages before putting them into a bewitched sleep?,they would be quite safe,False,2.580881118774414e-05,7,none,0,[],abet
hp_38,What reason does Hagrid give for some people being able to see Thestrals while others cannot?,people who have seen death,False,7.957220077514648e-05,25,none,0,[],H
hp_39,What did Ron say his mum gets Witch Weekly for?,the recipes,False,0.0007519721984863281,10,none,0,[],门
hp_40,What were the two new books Harry needed for the coming year?,"The Standard Book of Spells, Grade 5, by Miranda Goshawk, and Defensive Magical Theory, by Wilbert Slinkhard.",True,0.82421875,31,late_emerging,12,"[20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",The
hp_41,What were the two new books mentioned in Harry's letter that he needed for the coming year?,"The Standard Book of Spells, Grade 5, by Miranda Goshawk, and Defensive Magical Theory, by Wilbert Slinkhard.",True,0.303955078125,32,late_emerging,10,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",In
hp_42,What did Hermione say Felix Felicis does?,It makes you lucky!,False,0.0006399154663085938,7,none,0,[],abet
hp_43,Who did Cho Chang plan to go to the ball with?,Cedric Diggory,False,0.00023877620697021484,7,none,0,[],none
hp_44,Who does Hagrid claim Firenze is doing a favor for?,Dumbledore,False,0.0001176595687866211,7,none,0,[],abet
hp_45,What did Harry offer to resign from due to his shame?,the Quidditch team,True,0.0011463165283203125,31,suppressed_at_output,4,"[28, 30, 31, 32]",Harry
hp_46,Who did Cho Chang say she was going to the ball with?,Cedric Diggory.,False,0.00017952919006347656,7,none,0,[],none
hp_47,What sound did Harry recognize as the most beautiful and welcome thing he had ever heard in his life?,phoenix song,False,0.00019097328186035156,25,none,0,[],beskre
hp_48,What was used to take Harry and Cedric to a graveyard?,Cup was a Portkey,False,0.00021350383758544922,2,none,0,[],Portail
hp_49,What did Dumbledore describe as preferable to lies while addressing the Great Hall at the Leaving Feast?,the truth,False,0.0002887248992919922,7,none,0,[],abet
hp_50,What term does Malfoy use to describe Hermione that angers Ron?,Mudblood,False,9.912252426147461e-05,22,none,0,[],answer
hp_51,What animal was Draco Malfoy turned into by Moody?,ferret,False,5.310773849487305e-05,24,none,0,[],none
hp_52,Who got the best grades of the first years?,Hermione,False,0.0002321004867553711,6,none,0,[],Gemeins
hp_53,What sport did Ludo Bagman play for England?,Quidditch,False,0.0002491474151611328,6,none,0,[],Gemeins
hp_54,Who did Mr. Weasley say got them good tickets for the Cup?,Ludo,False,9.232759475708008e-05,31,none,0,[],Mr
hp_55,What object did James take out of his pocket and play with?,a struggling Golden Snitch,False,0.00027942657470703125,7,none,0,[],abet
hp_56,What does Hermione say is the main effect of Felix Felicis?,It makes you lucky!,False,0.0008902549743652344,7,none,0,[],none
hp_57,Which location does Harry first call out when he throws Floo powder into the fireplace in Umbridge's office?,"Number twelve, Grimmauld Place",False,5.418062210083008e-05,23,none,0,[],Hinweis
hp_58,What type of creature did Professor Grubbly-Plank show the class after Hagrid's absence?,a large and beautiful unicorn,False,0.0005335807800292969,7,none,0,[],abet
hp_59,What did Harry say to activate the Floo powder and reach the desired location?,"'Number twelve, Grimmauld Place!'",False,6.16312026977539e-05,7,none,0,[],abet
hp_60,What specific type of blood did Hagrid point out on the ground?,unicorn blood,False,0.0012426376342773438,7,none,0,[],abet
hp_61,What did Tonks change her hair color to after deciding violet made her look peaky?,bubble-gum pink,False,0.0002593994140625,7,none,0,[],egg
hp_62,What item did Harry Potter put in his mouth right before wading into the lake for the second task?,gillyweed,False,0.0003638267517089844,7,none,0,[],abet
hp_63,What did Worple seize from a passing elf and give to Sanguini?,a pasty,False,0.0008096694946289062,7,none,0,[],none
hp_64,What did Harry give the owl for delivering the newspaper?,five Knuts,False,4.482269287109375e-05,1,none,0,[],Portail
hp_65,How long has Professor Trelawney been at Hogwarts?,sixteen years,False,5.614757537841797e-05,1,none,0,[],Portail
hp_66,What was Cho's Patronus shape during the DA meeting before Easter?,swan-shaped,False,4.8220157623291016e-05,7,none,0,[],Ľ
hp_67,Who was standing rigidly beside Dumbledore with an extremely tense face?,Professor McGonagall,False,0.005992889404296875,29,none,0,[],Hinweis
hp_68,Who was the exam proctor overseeing Snape's Defence Against the Dark Arts exam as a teenager?,Professor Flitwick,True,0.045013427734375,27,late_emerging,5,"[27, 28, 29, 30, 32]",none
hp_69,How long has Snape been teaching at Hogwarts?,Fourteen years,False,4.178285598754883e-05,32,none,0,[],S
hp_70,How many Galleons did Ludo Bagman offer to pay for the fake wand?,five Galleons,False,4.410743713378906e-05,1,none,0,[],Portail
hp_71,How much did the new copy of Advanced Potion-Making cost Harry?,nine Galleons,False,7.635354995727539e-05,8,none,0,[],par
hp_72,Who is the new Defence Against the Dark Arts teacher mentioned in the excerpt?,Dolores Umbridge,False,0.0005259513854980469,25,none,0,[],according
hp_73,What type of whiskey do Madame Maxime's horses drink?,single-malt whiskey,False,0.0004870891571044922,10,none,0,[],Bedeut
hp_74,"According to Hermione, what was the dog standing on?",a trapdoor,False,0.00041294097900390625,7,none,0,[],RS
hp_75,What creature did Hagrid show the students since before Christmas?,a Crup,False,0.00051116943359375,7,none,0,[],abet
hp_76,"What was the dog that Harry, Ron, Hermione, and Neville encountered guarding?",a trapdoor,False,0.00048351287841796875,7,none,0,[],abet
hp_77,Which professor is willing to accept N.E.W.T. students with 'Exceeds Expectations' at O.W.L. level in Potions?,Professor Slughorn,True,0.90771484375,24,late_emerging,15,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",Professor
hp_78,What does Dobby give Harry to make him breathe underwater?,gillyweed,False,0.00025463104248046875,7,none,0,[],abet
hp_79,What did Harry find annoying about the previous owner of the tattered book Slughorn lent him?,scribbled all over the pages,True,3.4570693969726562e-06,3,suppressed_from_early,5,"[9, 29, 30, 31, 32]",guez
hp_80,What gift did Hagrid give to Karkus on the first day?,a branch o' Gubraithian fire,False,0.000347137451171875,7,none,0,[],abet
hp_81,What feature of the chair in the center of the room gave Harry an ominous feeling?,Chains encircled the arms,True,1.6808509826660156e-05,7,suppressed_from_early,12,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",egg
hp_82,Who did Dumbledore permit Harry to share the information about Voldemort with?,Ron and Hermione,False,0.00021922588348388672,28,none,0,[],D
hp_83,What headline did Harry read about himself in the Daily Prophet?,"""HARRY POTTER ""DISTURBED AND DANGEROUS""",True,0.273681640625,32,late_emerging,8,"[21, 22, 23, 28, 29, 30, 31, 32]",""""
hp_84,"What type of creature does Draco Malfoy claim attacked him, according to the article in the Daily Prophet?",a hippogriff,False,0.0004496574401855469,7,none,0,[],abet
hp_85,How long has Professor Trelawney been in her post?,Nearly sixteen years.,False,4.392862319946289e-05,14,none,0,[],answer
hp_86,What was the angel on top of the tree actually disguised as?,a garden gnome,False,0.0002503395080566406,7,none,0,[],plat
hp_87,What object was Hermione clutching when she emerged from the black smoke?,the telescope,True,0.0005564689636230469,7,suppressed_from_early,4,"[29, 30, 31, 32]",none
hp_88,Where did Hagrid say he had been hiding?,in the mountains,True,0.0009813308715820312,28,suppressed_at_output,6,"[26, 27, 28, 29, 30, 31]",H
hp_89,"According to Hermione, what was Grawp likely referring to when he repeatedly said 'Hagger'?",Hagrid,True,0.0002961158752441406,31,suppressed_at_output,1,[31],According
hp_90,What item did Harry and Hermione leave on top of the tower?,the invisibility cloak,True,0.00545501708984375,31,suppressed_at_output,11,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",In
hp_91,"For how long has Professor Trelawney been in her post, according to her own statement?",Nearly sixteen years.,False,1.7702579498291016e-05,16,none,0,[],quelle
hp_92,What did Mrs. Weasley say about Mr. Weasley's condition when she entered the kitchen at ten past five in the morning?,He's going to be all right,True,6.246566772460938e-05,18,suppressed_from_middle,1,[9],anch
hp_93,How long has Professor Trelawney been in her post?,Nearly sixteen years.,False,4.392862319946289e-05,14,none,0,[],answer
hp_94,How long has Professor Trelawney been in her post?,Nearly sixteen years.,False,4.392862319946289e-05,14,none,0,[],answer
hp_95,How long has Professor Trelawney been in her post exactly?,Nearly sixteen years.,False,4.988908767700195e-05,14,none,0,[],answer
hp_96,What did Snape assign Harry to write an essay about after he ruined his potion?,the correct composition of this potion,True,0.0005688667297363281,7,suppressed_from_early,1,[31],abet
hp_97,What did Ron say happens if you break an Unbreakable Vow?,You die,False,0.00020241737365722656,32,none,0,[],If
hp_98,"According to Firenze, what is a 'monstrous thing' to do?",to slay a unicorn,False,0.00041222572326660156,7,none,0,[],abet
hp_99,What does Ron guess Hermione is trying to do when she leads Harry and him down the corridor with the silver fruit bowl painting?,You're trying to rope us into that spew stuff again!,False,3.3915042877197266e-05,9,none,0,[],Bedeut
